Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,118.889999,119.500000,116.642998,118.760002,118.760002,1117400
2018-07-02,117.470001,117.620003,115.360001,115.910004,115.910004,1346200
2018-07-03,117.589996,118.074997,115.000000,115.940002,115.940002,607500
2018-07-05,117.269997,117.900002,114.660004,117.820000,117.820000,978300
2018-07-06,117.419998,122.050003,117.330002,121.739998,121.739998,1344000
2018-07-09,120.500000,121.410004,118.370003,121.120003,121.120003,1238200
2018-07-10,121.120003,122.529999,119.699997,120.699997,120.699997,872500
2018-07-11,117.790001,118.220001,112.230003,117.169998,117.169998,1752100
2018-07-12,118.430000,120.000000,116.169998,118.059998,118.059998,1149800
2018-07-13,119.139999,120.500000,118.029999,119.169998,119.169998,860200
2018-07-16,118.980003,122.129997,117.129997,120.769997,120.769997,830400
2018-07-17,119.559998,125.930000,118.620003,124.650002,124.650002,1410800
2018-07-18,124.129997,125.510002,122.410004,124.250000,124.250000,1443700
2018-07-19,124.260002,126.600998,124.010002,125.610001,125.610001,1297300
2018-07-20,125.870003,127.089996,124.760002,126.500000,126.500000,1135100
2018-07-23,126.620003,128.440002,125.541000,126.879997,126.879997,1183900
2018-07-24,127.900002,127.900002,120.849998,122.489998,122.489998,1104700
2018-07-25,120.269997,126.540001,119.442001,125.970001,125.970001,927000
2018-07-26,125.589996,125.809998,118.000000,118.470001,118.470001,1948800
2018-07-27,119.849998,120.040001,114.250000,115.500000,115.500000,1784400
2018-07-30,115.309998,116.260002,107.580002,109.669998,109.669998,2681500
2018-07-31,110.589996,112.440002,107.000000,108.820000,108.820000,1778200
2018-08-01,109.519997,110.820000,107.230003,107.230003,107.230003,2539900
2018-08-02,116.250000,120.339996,110.805000,115.320000,115.320000,5190000
2018-08-03,113.809998,114.839996,110.390999,111.639999,111.639999,2084200
2018-08-06,110.430000,114.820000,109.750000,114.500000,114.500000,1512600
2018-08-07,113.820000,117.190002,110.699997,114.949997,114.949997,1262500
2018-08-08,114.949997,116.849998,114.160004,115.769997,115.769997,803800
2018-08-09,115.879997,120.800003,114.654999,119.720001,119.720001,1791800
2018-08-10,117.209999,125.220001,117.209999,123.389999,123.389999,4050600
2018-08-13,123.239998,125.290001,121.120003,122.269997,122.269997,1616500
2018-08-14,122.709999,123.176003,120.500000,122.239998,122.239998,813100
2018-08-15,121.190002,122.939003,117.459999,119.430000,119.430000,1187500
2018-08-16,120.879997,121.050003,117.362000,118.680000,118.680000,724900
2018-08-17,119.050003,120.120003,117.275002,119.309998,119.309998,859700
2018-08-20,119.000000,122.669998,118.739998,121.989998,121.989998,673900
2018-08-21,121.610001,125.400002,120.839996,124.949997,124.949997,778000
2018-08-22,125.110001,129.059998,124.470001,127.339996,127.339996,1120500
2018-08-23,127.339996,134.220001,127.339996,130.820007,130.820007,1709000
2018-08-24,131.240005,133.210007,127.650002,128.529999,128.529999,1357200
2018-08-27,130.000000,130.610001,127.190002,128.740005,128.740005,1002300
2018-08-28,128.639999,130.908997,127.279999,130.639999,130.639999,1439900
2018-08-29,130.440002,131.899994,127.940002,131.800003,131.800003,1085500
2018-08-30,131.330002,135.820007,130.940002,132.960007,132.960007,1019200
2018-08-31,132.309998,135.419998,131.509995,135.169998,135.169998,1039300
2018-09-04,134.860001,139.419998,133.770004,138.860001,138.860001,1763900
2018-09-05,138.000000,138.419998,130.320007,133.460007,133.460007,1393700
2018-09-06,133.449997,134.520004,131.679993,132.949997,132.949997,895900
2018-09-07,132.470001,140.389999,132.000000,133.860001,133.860001,2110800
2018-09-10,135.889999,139.440002,134.000000,138.779999,138.779999,1277100
2018-09-11,138.589996,144.350006,138.020004,143.960007,143.960007,1069700
2018-09-12,143.399994,149.899994,142.690002,149.500000,149.500000,1745600
2018-09-13,147.460007,149.619995,145.570007,148.039993,148.039993,1246100
2018-09-14,148.600006,151.199005,147.544006,149.919998,149.919998,1148800
2018-09-17,147.589996,147.800995,141.699997,142.229996,142.229996,1751400
2018-09-18,142.300003,145.054993,142.300003,143.259995,143.259995,985700
2018-09-19,146.270004,146.860001,130.720001,139.029999,139.029999,1946100
2018-09-20,138.649994,140.220001,135.921005,137.610001,137.610001,1134500
2018-09-21,138.289993,139.720001,133.509995,133.979996,133.979996,2259200
2018-09-24,133.279999,138.479996,131.399994,137.679993,137.679993,1092900
2018-09-25,137.699997,141.380005,137.559998,141.139999,141.139999,978600
2018-09-26,140.699997,142.899994,138.429993,141.720001,141.720001,747600
2018-09-27,143.839996,147.500000,143.839996,145.619995,145.619995,914500
2018-09-28,145.160004,149.699997,145.050003,147.669998,147.669998,877300
2018-10-01,149.110001,149.850006,141.317993,143.639999,143.639999,1357400
2018-10-02,142.630005,143.729996,134.300003,134.779999,134.779999,1666500
2018-10-03,135.720001,139.470001,133.744003,138.130005,138.130005,882700
2018-10-04,136.050003,136.050003,131.059998,133.169998,133.169998,1143000
2018-10-05,132.899994,136.000000,129.550003,132.899994,132.899994,752800
2018-10-08,131.750000,132.690002,125.300003,129.119995,129.119995,1121200
